,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mokhsogollokh,61.4681,128.9203,28.94,97,100,3.53,RU,1619732188
1,Busselton,-33.65,115.3333,48.99,98,72,9.1,AU,1619732189
2,San Policarpo,12.1791,125.5072,76.48,84,73,2.48,PH,1619732189
3,Ushuaia,-54.8,-68.3,42.8,56,20,3.44,AR,1619731981
4,Rikitea,-23.1203,-134.9692,76.37,68,99,8.75,PF,1619732190
5,Punta Arenas,-53.15,-70.9167,41.0,87,90,8.05,CL,1619732190
6,Hermanus,-34.4187,19.2345,55.99,76,66,3.0,ZA,1619732191
7,Lucapa,-8.4192,20.7447,67.93,94,91,2.42,AO,1619732191
8,Saint-Philippe,-21.3585,55.7679,75.2,78,20,6.91,RE,1619732192
9,Hobart,-42.8794,147.3294,54.0,94,75,6.91,AU,1619732192
10,Atuona,-9.8,-139.0333,79.2,71,3,4.97,PF,1619732193
11,Butaritari,3.0707,172.7902,83.08,76,100,15.28,KI,1619732193
12,Mount Gambier,-37.8333,140.7667,48.2,100,0,9.22,AU,1619732193
13,Padang,-0.9492,100.3543,75.96,90,100,2.73,ID,1619732194
14,Naryan-Mar,67.6713,53.087,22.87,94,69,1.68,RU,1619732194
15,Jamestown,42.097,-79.2353,52.0,93,90,9.22,US,1619732195
16,Upernavik,72.7868,-56.1549,30.6,67,92,3.02,GL,1619732195
17,New Norfolk,-42.7826,147.0587,54.0,92,62,2.15,AU,1619732196
18,Portland,45.5234,-122.6762,77.0,35,1,4.61,US,1619731594
19,Flin Flon,54.7682,-101.865,41.0,28,1,18.41,CA,1619732196
20,São José da Coroa Grande,-8.8978,-35.1478,78.19,84,84,9.28,BR,1619732197
21,Uthal,25.8072,66.6219,82.04,40,61,6.24,PK,1619732197
22,Point Pedro,9.8167,80.2333,81.41,85,13,9.48,LK,1619732198
23,Sept-Îles,50.2001,-66.3821,46.99,61,75,10.36,CA,1619732198
24,Carroll,39.5501,-77.0164,77.0,62,100,1.99,US,1619732198
25,Oussouye,12.485,-16.5469,78.8,83,0,4.61,SN,1619732199
26,Clyde River,70.4692,-68.5914,26.6,100,90,10.36,CA,1619732200
27,Mataura,-46.1927,168.8643,53.01,83,100,8.99,NZ,1619732200
28,Bluff,-46.6,168.3333,53.01,83,80,8.99,NZ,1619732200
29,Hong Kong,22.2855,114.1577,73.99,85,100,4.14,HK,1619732201
